# Directed graph: as-caida20060626.txt
# The CAIDA AS Relationships Dataset, from 06 26 2006
# Relationships:	-1 (<FromNodeId> is a customer of <ToNodeId>)
# 			1 (<FromNodeId> is a provider of <ToNodeId>)
# 			0 (<FromNodeId> and <ToNodeId> are peers)
# 			2 (<FromNodeId> and <ToNodeId> are siblings (the same organization).)
# Nodes:22317	Edges: 90392
# FromNodeId        ToNodeId	Relationship
8563	2914	-1
8563	21414	-1
8563	21482	1
8563	3277	0
28801	702	-1
28801	8422	-1
28801	8220	-1
5006	20283	1
5006	21902	1
5006	25637	1
5006	17162	1
5006	18581	1
5006	16904	1
5006	21730	1
5006	32461	1
5006	7018	-1
5006	32664	1
5006	33111	1
5006	26021	1
5006	23359	1
5006	10379	1
5006	21951	1
5006	7792	1
5006	10337	1
5006	18699	1
5006	32110	1
5006	7973	1
5006	18723	1
5006	25615	1
5006	36784	1
5006	36010	1
5006	33362	1
5006	10765	1
5006	78	1
5006	15011	1
5006	25720	1
5006	701	-1
5006	15100	1
5006	21573	1
5006	7263	1
5006	8148	1
5006	15267	1
5006	26557	1
5006	3679	1
5006	14738	1
5006	11375	1
5006	14619	1
5006	555	1
5006	32907	1
5006	11544	1
8434	34556	1
8434	24819	1
8434	39052	1
8434	2119	1
8434	2865	1
8434	16150	-1
8434	30798	1
8434	29506	1
8434	39242	1
8434	28942	1
8434	24959	1
8434	3303	0
8434	16086	1
8434	39324	1
8434	3293	1
8434	34244	1
8434	13237	0
8434	21171	1
8434	30786	1
8434	34946	1
8434	1257	-1
8434	15793	1
8434	35445	1
8434	28908	1
8434	15950	1
8434	25196	1
8434	702	0
8434	8624	1
8434	174	-1
8434	21200	1
8434	20883	1
8434	24713	1
8434	13243	1
8434	20904	1
8434	8210	-1
8434	2603	1
8434	31024	1
8434	20513	1
8434	25387	1
8434	25475	1
8434	13177	1
8434	3356	-1
8434	29422	1
8434	25217	1
8434	13189	1
29429	8447	-1
29429	8220	-1
31922	701	-1
31922	11509	-1
31922	17054	-1
18581	6395	-1
18581	5006	-1
7652	9942	-1
7652	4825	1
7652	17409	-1
35097	8404	-1
22537	701	-1
22537	21637	-1
22537	23126	-1
12798	8851	-1
17773	17633	-1
17773	4837	-1
17773	9800	-1
1785	27344	1
1785	30552	1
1785	11023	1
1785	21704	1
1785	30397	1
1785	15339	1
1785	3303	0
1785	4057	1
1785	22252	1
1785	11931	1
1785	11452	1
1785	25911	1
1785	32401	1
1785	22597	1
1785	25816	1
1785	21600	1
1785	13237	0
1785	6316	2
1785	2516	0
1785	26055	1
1785	22077	1
1785	10493	1
1785	22117	1
1785	19674	1
1785	33480	1
1785	31887	1
1785	33319	1
1785	6939	0
1785	27507	1
1785	6260	1
1785	23484	1
1785	701	-1
1785	4017	1
1785	174	-1
1785	27481	1
1785	30697	1
1785	29934	1
1785	22198	1
1785	25936	1
1785	11817	1
1785	11686	0
1785	30312	1
1785	26727	1
1785	11534	1
1785	3356	-1
1785	18993	1
1785	36637	1
1785	13334	1
1785	30544	1
1785	88	1
1785	15152	1
1785	33202	1
1785	30566	1
1785	32731	1
1785	16670	1
1785	3491	-1
1785	26881	1
1785	6493	1
1785	2568	1
1785	36636	1
1785	31836	1
1785	16500	1
1785	16521	1
1785	35927	1
1785	30288	1
1785	13926	1
1785	33531	1
1785	32554	1
1785	1668	0
1785	26294	1
1785	4231	2
1785	23262	1
1785	11410	1
1785	32019	1
1785	32524	1
1785	35868	1
1785	30318	1
1785	26735	1
1785	26042	1
1785	16470	1
1785	14053	1
1785	17019	1
1785	29941	1
1785	31924	1
1785	16554	1
1785	32271	1
1785	36605	1
1785	25774	1
8419	8342	0
8419	12682	0
8419	29446	1
8419	19151	0
8419	6939	0
8419	5400	-1
8419	8943	-1
8419	16150	0
8419	3303	0
33919	16075	-1
33919	24971	-1
30266	6130	-1
30266	3561	-1
18471	1239	-1
18471	3561	-1
9363	18140	-1
9363	10026	-1
17145	701	-1
17145	1239	-1
18324	4766	-1
18324	3786	-1
26844	1239	-1
16590	6128	-1
29030	34224	-1
27480	701	-1
27480	1239	-1
18860	701	-1
19092	30110	1
19092	21864	1
19092	10835	1
19092	4043	1
19092	25957	1
19092	36081	1
19092	32203	1
19092	7745	1
19092	10947	1
19092	22629	1
19092	15219	1
19092	11961	1
19092	16503	1
19092	15267	1
19092	3833	1
19092	6539	-1
19092	29870	1
19092	210	1
19092	32311	1
19092	32865	1
19092	23492	1
19092	3356	-1
19092	12009	1
19092	33588	1
36506	19262	-1
24783	8342	-1
24783	20485	-1
19720	6128	-1
12093	174	-1
12093	26677	-1
16355	8220	-1
1244	701	-1
1244	174	-1
29393	7181	-1
25953	1239	-1
25953	174	-1
7816	7018	-1
21836	10933	-1
21836	209	-1
35309	6461	-1
40037	174	-1
21215	39796	1
21215	29163	1
21215	15982	-1
21215	31161	1
21215	8400	-1
21215	13091	-1
4358	701	-1
4358	33230	1
4358	15294	1
4358	3356	-1
4358	13475	1
14729	1784	-1
14729	14742	-1
39508	1764	-1
39508	13646	-1
34821	20485	-1
16410	701	-1
16410	6395	-1
28828	12595	-1
28828	286	-1
11648	7332	-1
11648	2647	-1
16622	7228	-1
23788	4721	-1
23788	4716	-1
25867	577	-1
25867	15290	-1
25867	3561	-1
13334	19029	-1
13334	1785	-1
34494	15694	-1
33505	2828	-1
33505	3356	-1
21363	9116	-1
21363	5486	-1
14610	6461	-1
14610	13789	-1
14610	3356	-1
32854	1239	-1
32854	3549	-1
11427	12270	1
11427	30473	1
11427	36037	1
11427	17291	1
11427	36235	1
11427	33484	1
11427	1668	-1
11427	33342	1
11427	30119	1
11427	27325	1
11427	22028	1
11427	36097	1
11427	14668	1
11427	29739	1
11427	29753	1
11427	3356	-1
11427	10500	1
33090	701	-1
15874	174	-1
15874	6453	0
15874	20562	-1
31359	8342	-1
31359	12685	1
31359	12668	1
31359	20485	-1
31359	39073	1
31359	3235	1
31359	2854	-1
31359	31363	1
26831	701	-1
26831	2828	-1
31038	8953	-1
27275	15296	-1
34468	8642	-1
39205	8751	-1
39205	30890	-1
30706	3602	-1
30706	6539	-1
36643	4436	-1
26317	32034	-1
30604	19094	-1
9968	4766	-1
9968	3786	-1
34348	25133	-1
26002	13504	-1
9961	9848	-1
9961	9457	-1
5464	8741	-1
5464	286	-1
5464	24836	1
11280	701	-1
25747	22306	1
25747	2828	-1
