# Undirected graph (each unordered pair of nodes is saved once): results/snap/as-caidaDCS_GREEDY/as-caidaGREEDY70.txt
# Minimal graph fromresults/snap/as-caidaDCS_GREEDY.txt
# Nodes: 33 Edges: 227
# NodeId	NodeId
1668	3549
1668	4637
1668	6432
1668	6453
1668	6461
1668	7018
3549	3561
3549	4637
3549	5400
3549	5511
3549	5650
3549	6432
3549	6453
3549	6762
3549	7018
3549	7132
3549	7473
4637	4766
4637	5400
4637	5511
4637	5650
4637	6128
4637	6453
4637	6461
4637	6762
4637	7132
4637	7473
4637	9318
4637	15169
6432	6461
6432	7018
6453	6461
6453	6762
6453	7018
6453	7132
6453	7473
6453	9318
6453	15169
6461	6762
6461	7018
6461	9318
6461	15169
7018	7132
7018	7473
7018	9318
2828	3356
2828	3491
2828	3549
2828	3561
2828	4637
2828	5511
2828	6128
2828	6453
2828	7018
3356	3549
3356	3561
3356	4637
3356	5400
3356	5511
3356	6128
3356	6432
3356	6453
3356	6762
3356	7018
3356	7473
3356	9318
3356	15169
3491	3549
3491	3561
3491	4134
3491	4323
3491	4637
3491	5650
3491	6128
3491	6432
3491	6762
3491	7132
3561	4134
3561	5400
3561	5650
3561	6128
3561	6453
3561	6762
3561	7018
3561	7473
5511	6453
5511	6762
5511	7018
5511	15169
6128	6762
2914	3356
2914	3491
2914	3549
2914	3561
2914	4323
2914	4766
2914	5511
2914	6453
2914	6461
2914	6762
2914	7018
2914	9318
4323	4637
4323	6762
4323	7018
4766	6762
4766	7018
6762	7132
3257	3356
3257	3549
3257	3561
3257	4637
3257	6432
3257	6453
3257	6762
3257	7018
3320	3356
3320	3549
3320	4637
3320	6453
3320	6762
3320	7018
5400	6762
5400	7018
4134	4637
4134	6453
4134	7018
5650	7018
1239	1299
1239	1668
1239	2516
1239	2828
1239	2914
1239	3257
1239	3303
1239	3320
1239	3356
1239	3549
1239	3561
1239	4134
1239	4323
1239	4637
1239	4766
1239	5400
1239	5511
1239	5650
1239	6432
1239	6453
1239	6461
1239	6762
1239	7018
1239	7473
1239	15169
1299	2914
1299	3356
1299	3491
1299	3549
1299	3561
1299	6128
1299	6432
1299	6453
1299	6762
1299	7018
2516	3257
2516	3303
2516	3320
2516	3356
2516	3491
2516	3549
2516	4323
2516	4637
2516	4766
2516	5400
2516	5511
2516	5650
2516	6461
2516	6762
2516	7132
2516	7473
2516	9318
3303	3356
3303	4637
3303	6453
3303	6762
701	1239
701	1299
701	2828
701	2914
701	3303
701	3356
701	3491
701	3549
701	3561
701	4134
701	4766
701	5650
701	6128
701	6432
701	6453
701	6461
701	6762
701	7018
209	701
209	1239
209	1299
209	2516
209	2914
209	3356
209	3549
209	4637
209	6453
209	7018
209	15169
174	701
174	1239
174	1299
174	2516
174	2914
174	3320
174	3356
174	3549
174	3561
174	4134
174	4637
174	6453
174	6762
174	7018
