# Undirected graph (each unordered pair of nodes is saved once): data/preprocessed_04/36.txt
# Preprocessed on 2016-04-07T14:30:45.198123
# Nodes: 3533 Edges: 11234
# NodeId	NodeId
3	174
3	1239
3	3356
8196	8426
8196	13237
6	702
6	1239
6	3215
6	3549
16399	21940
17	19782
20	3754
20	4323
20	6395
8220	9136
8220	12680
8220	12797
8220	12874
8220	12883
8220	12886
8220	13237
8220	15404
8220	15446
8220	15456
8220	15506
8220	15533
8220	15613
8220	15720
8220	15743
8220	15790
8220	16150
8220	19197
8220	19596
8220	23148
8220	24772
8220	25395
8220	25723
8220	28842
8220	29252
8220	29286
32	71
32	174
32	2152
32	2153
32	3561
8225	25530
34	174
34	10466
8228	15557
38	293
38	698
38	6325
38	7228
38	22335
42	293
42	2152
42	2497
42	2516
42	2905
42	2914
42	3257
42	3303
42	3557
42	4637
42	5413
42	6453
42	6461
42	6539
42	6762
42	6939
42	7091
42	11608
42	12956
42	13237
42	16150
42	19151
47	226
47	567
8246	12824
8246	15541
57	1998
57	3356
57	7911
57	11537
57	22335
64	209
64	5691
71	151
71	209
71	1239
71	5650
71	7018
71	7298
71	19647
73	101
8271	8404
8271	13030
8271	13237
81	209
81	3356
81	11426
81	11537
81	22753
81	27446
16467	30077
16467	30084
88	1785
88	7018
88	10466
16473	19957
8289	8928
8289	13237
8289	16150
8289	21250
16482	20351
100	26696
101	174
101	293
101	2153
101	2914
101	3130
101	3356
101	3491
101	6539
101	7018
101	7911
101	8071
101	10430
101	11537
109	701
109	702
109	1239
109	2914
109	4637
109	7018
109	7132
109	9116
5483	6821
5483	8425
5483	13237
8331	12695
8331	25462
16527	19750
8338	10282
8338	19197
8339	13237
13678	15270
8342	8404
8342	8422
8342	8426
8342	8468
8342	8546
8342	8560
8342	8586
8342	8657
8342	8912
8342	8928
8342	8966
8342	9198
8342	12322
8342	12713
8342	12793
8342	12989
8342	13037
8342	13184
8342	13193
8342	13237
8342	13285
8342	15468
8342	15500
8342	15557
8342	16034
8342	16150
8342	19151
8342	20663
8342	20676
8342	20940
8342	24783
8342	25490
8342	29648
8342	30733
151	1239
151	2516
151	3758
151	4515
151	4637
151	4657
151	4694
151	4755
151	9304
151	9498
151	17675
16549	16852
16557	19962
174	209
174	237
174	286
174	293
174	559
174	577
174	680
174	701
174	812
174	852
174	1103
174	1257
174	1273
174	1299
174	1742
174	1784
174	1798
174	1853
174	1901
174	2033
174	2044
174	2152
174	2381
174	2497
174	2516
174	2647
174	2686
174	2828
174	2860
174	2874
174	2914
174	3246
174	3249
174	3257
174	3300
174	3303
174	3304
174	3330
174	3343
174	3356
174	3491
174	3549
174	3557
174	3561
174	3575
174	3602
174	3786
174	3933
174	3957
174	4004
174	4134
174	4355
174	4436
174	4589
174	4637
174	4670
174	4716
174	4755
174	4766
174	4780
174	4788
174	5089
174	5388
174	5400
174	5410
174	5413
174	5427
174	5462
174	5466
174	5503
174	5583
174	5588
174	5650
174	5661
174	5669
174	5690
174	5713
174	5738
174	5784
174	6059
174	6118
174	6128
174	6140
174	6280
174	6300
174	6320
174	6325
174	6349
174	6372
174	6389
174	6395
174	6407
174	6408
174	6428
174	6453
174	6461
174	6539
174	6582
174	6620
174	6656
174	6666
174	6739
174	6762
174	6805
174	6830
174	6848
174	6853
174	6939
174	6954
174	6981
174	6983
174	7018
174	7132
174	7148
174	7228
174	7271
174	7341
174	7473
174	7784
174	7794
174	7796
174	7849
174	7908
174	7911
174	7992
174	8001
174	8010
174	8011
174	8167
174	8196
174	8220
174	8339
174	8342
174	8426
174	8434
174	8447
174	8468
174	8469
174	8514
174	8546
174	8560
174	8608
174	8638
174	8657
174	8881
174	8912
174	8928
174	8966
174	8975
174	9066
174	9143
174	9165
174	9191
174	9211
174	9264
174	9299
174	9416
174	9505
174	9680
174	10026
174	10282
174	10439
174	10466
174	10594
174	10607
174	10823
174	10970
174	10996
174	11342
174	11388
174	11496
174	11504
174	11509
174	11524
174	11570
174	11574
174	11587
174	11608
174	11624
174	11647
174	11686
174	11696
174	11814
174	11837
174	11951
174	11981
174	12021
174	12044
174	12179
174	12238
174	12337
174	12338
174	12359
174	12390
174	12392
174	12394
174	12479
174	12493
174	12611
174	12670
174	12713
174	12731
174	12793
174	12807
174	12844
174	12876
174	12956
174	12989
174	13030
174	13101
174	13127
